Breed,AvgHeightInches,LowHeightInches,HighHeightInches,AvgWeightLbs,LowWeightLbs,HighWeightLbs,AvgPupPrice,IntelligenceRating,Watchdog,FirstClassification,SecondClassification,Temperament,Indicator,MeanHeight
Tibetan Mastiff,25,24,26,155,140,170,3000,NA,6,Working,Guardian,Alert,0,25.6904761904762
Tibetan Mastiff,25,24,26,155,140,170,3000,NA,6,Working,Guardian,Friendly,0,25.6904761904762
Tibetan Mastiff,25,24,26,155,140,170,3000,NA,6,Working,Guardian,Affectionate,0,25.6904761904762
Tibetan Mastiff,25,24,26,155,140,170,3000,NA,6,Working,Guardian,Loyal,1,25.6904761904762
Tibetan Mastiff,25,24,26,155,140,170,3000,NA,6,Working,Guardian,Gentle,0,25.6904761904762
Tibetan Mastiff,25,24,26,155,140,170,3000,NA,6,Working,Guardian,Independent,0,25.6904761904762
Tibetan Mastiff,25,24,26,155,140,170,3000,NA,6,Working,Guardian,Protective,1,25.6904761904762
Tibetan Mastiff,25,24,26,155,140,170,3000,NA,6,Working,Guardian,Playful,0,25.6904761904762
French Bulldog,11.5,11,12,22.5,17,28,3000,58,3,Non-Sporting,Companion,Alert,1,15
French Bulldog,11.5,11,12,22.5,17,28,3000,58,3,Non-Sporting,Companion,Friendly,0,15
French Bulldog,11.5,11,12,22.5,17,28,3000,58,3,Non-Sporting,Companion,Affectionate,1,15
French Bulldog,11.5,11,12,22.5,17,28,3000,58,3,Non-Sporting,Companion,Loyal,0,15
French Bulldog,11.5,11,12,22.5,17,28,3000,58,3,Non-Sporting,Companion,Gentle,0,15
French Bulldog,11.5,11,12,22.5,17,28,3000,58,3,Non-Sporting,Companion,Independent,0,15
French Bulldog,11.5,11,12,22.5,17,28,3000,58,3,Non-Sporting,Companion,Protective,0,15
French Bulldog,11.5,11,12,22.5,17,28,3000,58,3,Non-Sporting,Companion,Playful,1,15
Portuguese Water Dog,21.5,20,23,51,42,60,2650,NA,4,Working,Gun,Alert,0,25.6904761904762
Portuguese Water Dog,21.5,20,23,51,42,60,2650,NA,4,Working,Gun,Friendly,0,25.6904761904762
Portuguese Water Dog,21.5,20,23,51,42,60,2650,NA,4,Working,Gun,Affectionate,0,25.6904761904762
Portuguese Water Dog,21.5,20,23,51,42,60,2650,NA,4,Working,Gun,Loyal,0,25.6904761904762
Portuguese Water Dog,21.5,20,23,51,42,60,2650,NA,4,Working,Gun,Gentle,0,25.6904761904762
Portuguese Water Dog,21.5,20,23,51,42,60,2650,NA,4,Working,Gun,Independent,0,25.6904761904762
Portuguese Water Dog,21.5,20,23,51,42,60,2650,NA,4,Working,Gun,Protective,0,25.6904761904762
Portuguese Water Dog,21.5,20,23,51,42,60,2650,NA,4,Working,Gun,Playful,0,25.6904761904762
Sussex Spaniel,15.5,15,16,42.5,40,45,2500,NA,3,Sporting,Gun,Alert,0,21.6078302712161
Sussex Spaniel,15.5,15,16,42.5,40,45,2500,NA,3,Sporting,Gun,Friendly,1,21.6078302712161
Sussex Spaniel,15.5,15,16,42.5,40,45,2500,NA,3,Sporting,Gun,Affectionate,0,21.6078302712161
Sussex Spaniel,15.5,15,16,42.5,40,45,2500,NA,3,Sporting,Gun,Loyal,0,21.6078302712161
Sussex Spaniel,15.5,15,16,42.5,40,45,2500,NA,3,Sporting,Gun,Gentle,0,21.6078302712161
Sussex Spaniel,15.5,15,16,42.5,40,45,2500,NA,3,Sporting,Gun,Independent,0,21.6078302712161
Sussex Spaniel,15.5,15,16,42.5,40,45,2500,NA,3,Sporting,Gun,Protective,0,21.6078302712161
Sussex Spaniel,15.5,15,16,42.5,40,45,2500,NA,3,Sporting,Gun,Playful,0,21.6078302712161
Afghan Hound,26,25,27,55,50,60,2250,79,1,Sporting,Sight,Alert,0,21.6078302712161
Afghan Hound,26,25,27,55,50,60,2250,79,1,Sporting,Sight,Friendly,0,21.6078302712161
Afghan Hound,26,25,27,55,50,60,2250,79,1,Sporting,Sight,Affectionate,0,21.6078302712161
Afghan Hound,26,25,27,55,50,60,2250,79,1,Sporting,Sight,Loyal,0,21.6078302712161
Afghan Hound,26,25,27,55,50,60,2250,79,1,Sporting,Sight,Gentle,0,21.6078302712161
Afghan Hound,26,25,27,55,50,60,2250,79,1,Sporting,Sight,Independent,1,21.6078302712161
Afghan Hound,26,25,27,55,50,60,2250,79,1,Sporting,Sight,Protective,0,21.6078302712161
Afghan Hound,26,25,27,55,50,60,2250,79,1,Sporting,Sight,Playful,0,21.6078302712161
Black Russian Terrier,27,25,29,110,80,140,2150,NA,6,Working,Guardian,Alert,0,25.6904761904762
Black Russian Terrier,27,25,29,110,80,140,2150,NA,6,Working,Guardian,Friendly,0,25.6904761904762
Black Russian Terrier,27,25,29,110,80,140,2150,NA,6,Working,Guardian,Affectionate,0,25.6904761904762
Black Russian Terrier,27,25,29,110,80,140,2150,NA,6,Working,Guardian,Loyal,0,25.6904761904762
Black Russian Terrier,27,25,29,110,80,140,2150,NA,6,Working,Guardian,Gentle,0,25.6904761904762
Black Russian Terrier,27,25,29,110,80,140,2150,NA,6,Working,Guardian,Independent,0,25.6904761904762
Black Russian Terrier,27,25,29,110,80,140,2150,NA,6,Working,Guardian,Protective,0,25.6904761904762
Black Russian Terrier,27,25,29,110,80,140,2150,NA,6,Working,Guardian,Playful,0,25.6904761904762
Irish Wolfhound,31.5,28,35,120,90,150,1900,41,3,Hound,Scenthound,Alert,0,21.8421052631579
Irish Wolfhound,31.5,28,35,120,90,150,1900,41,3,Hound,Scenthound,Friendly,0,21.8421052631579
Irish Wolfhound,31.5,28,35,120,90,150,1900,41,3,Hound,Scenthound,Affectionate,0,21.8421052631579
Irish Wolfhound,31.5,28,35,120,90,150,1900,41,3,Hound,Scenthound,Loyal,1,21.8421052631579
Irish Wolfhound,31.5,28,35,120,90,150,1900,41,3,Hound,Scenthound,Gentle,0,21.8421052631579
Irish Wolfhound,31.5,28,35,120,90,150,1900,41,3,Hound,Scenthound,Independent,0,21.8421052631579
Irish Wolfhound,31.5,28,35,120,90,150,1900,41,3,Hound,Scenthound,Protective,0,21.8421052631579
Irish Wolfhound,31.5,28,35,120,90,150,1900,41,3,Hound,Scenthound,Playful,0,21.8421052631579
Pharaoh Hound,23,21,25,50,45,55,1900,37,2,Hound,Sight,Alert,0,21.8421052631579
Pharaoh Hound,23,21,25,50,45,55,1900,37,2,Hound,Sight,Friendly,0,21.8421052631579
Pharaoh Hound,23,21,25,50,45,55,1900,37,2,Hound,Sight,Affectionate,1,21.8421052631579
Pharaoh Hound,23,21,25,50,45,55,1900,37,2,Hound,Sight,Loyal,0,21.8421052631579
Pharaoh Hound,23,21,25,50,45,55,1900,37,2,Hound,Sight,Gentle,0,21.8421052631579
Pharaoh Hound,23,21,25,50,45,55,1900,37,2,Hound,Sight,Independent,0,21.8421052631579
Pharaoh Hound,23,21,25,50,45,55,1900,37,2,Hound,Sight,Protective,0,21.8421052631579
Pharaoh Hound,23,21,25,50,45,55,1900,37,2,Hound,Sight,Playful,1,21.8421052631579
Bedlington Terrier,15.5,15,16,20.5,18,23,1900,40,3,Terrier,Terrier2,Alert,0,15.1071428571429
Bedlington Terrier,15.5,15,16,20.5,18,23,1900,40,3,Terrier,Terrier2,Friendly,0,15.1071428571429
Bedlington Terrier,15.5,15,16,20.5,18,23,1900,40,3,Terrier,Terrier2,Affectionate,1,15.1071428571429
Bedlington Terrier,15.5,15,16,20.5,18,23,1900,40,3,Terrier,Terrier2,Loyal,1,15.1071428571429
Bedlington Terrier,15.5,15,16,20.5,18,23,1900,40,3,Terrier,Terrier2,Gentle,0,15.1071428571429
Bedlington Terrier,15.5,15,16,20.5,18,23,1900,40,3,Terrier,Terrier2,Independent,0,15.1071428571429
